,k1,k2
0,48.08262403976182,213.7796221016861
1,36.977671695161206,192.01466675229966
2,35.85686868001262,186.24231085283014
3,39.152002014867634,205.45500792987337
4,41.750993593545665,196.18841067430463
5,38.046547708149745,190.4786234993531
6,45.15205468594306,206.59315415486262
7,43.28354033926318,203.2111254901321
8,41.76627849630624,199.86940807345252
9,40.249398363354906,201.21079632575072
10,42.512335540227774,204.85269006178297
11,36.45265702310637,181.73318888010425
12,41.786276732023936,204.27444136190113
13,37.24338135082072,188.63163812070152
14,37.57707001526882,193.88606206609504
15,41.90625395418725,199.09131671722545
16,41.64485585877657,204.88986189305442
17,36.627225873885656,182.25531827916123
18,38.13270521322553,189.04414869627945
19,41.632749225746934,197.5156930096061
20,46.90511162152307,210.84368340757183
21,36.523088741770394,189.04935882319327
22,38.653733449921624,189.31389555886838
23,43.513680297939494,201.4748096924581
24,49.2870847425023,211.9845960156947
25,38.97176440470816,196.1923613925643
26,36.38466080276463,186.28640995514309
27,45.575139665575556,209.36373271631408
28,42.71859699581257,205.58016245473814
29,34.16526440556461,180.6185722123113
30,46.24633144354389,207.7633476163317
31,43.77290954636702,209.4911779968452
32,49.87095067471923,223.1087692221073
33,41.503398528866235,195.52303458058793
34,45.286527277796154,206.29170457469291
35,47.073814708437524,208.87339417929257
36,40.1892379029904,197.6328317636317
37,36.83350197837357,183.41573929855872
38,37.13894577744831,192.88015101940212
39,47.84675334001839,216.45930170806807
40,43.31309291663873,207.73534576238586
41,43.26107095267673,209.73243684252094
42,36.98822598861934,190.5773866655134
43,38.676924058442836,191.06215100691733
44,39.33162654580004,194.47283663171922
45,36.33317968758682,183.22149659300032
46,44.47267881395963,207.67923031795462
47,45.08672723765229,208.78492911472702
48,35.26332691916103,181.39563809746755
49,47.17524610811731,210.30062905423645
50,39.764416817045166,193.48075474043517
51,40.096227403702,188.75374844243882
52,38.572077453717185,197.57299083633944
53,35.09074606678805,181.0897964897752
54,36.56318232536501,186.98526027992992
55,33.82450489055084,177.01595511478817
56,39.458216345654265,192.45923243768942
57,39.41043263144092,198.54796185979825
58,35.868281830059594,187.87023771550832
59,37.809149585146976,187.08716518053788
60,36.7726473516253,194.31680738209138
61,39.96877089815136,190.1756726252788
62,41.794571997932245,196.2152910126022
63,41.18348530972372,196.78109679304765
64,38.11160377185971,193.64509807501793
65,35.80028026435042,184.9529598443989
66,48.18936810749631,219.47567421627858
67,44.917580771689636,215.83355783886196
68,41.63337134442036,204.82111096248582
69,39.89618136187564,199.6203846562315
70,45.97497059654119,209.86958029976282
71,37.91753693679276,195.98259758819077
72,35.27438162124888,183.75392867210877
73,41.90884996369714,196.54312831815614
74,41.156667511959206,202.5929074876999
75,34.93889511773303,178.3381787433544
76,36.32727854227452,192.48052261170886
77,39.607582672661316,198.75428787759878
78,39.22828820998125,193.81792331197553
79,31.821803252390875,169.51694225067195
80,40.313536196231695,194.37312778151204
81,39.988093390108865,193.7690261072132
82,40.02401295808362,194.11257426359276
83,36.31987155212576,187.24121536944608
84,37.454754008189724,183.6404254777004
85,40.879054625833966,198.2892685793831
86,40.94001526300297,199.78488361457707
87,42.60241497286803,202.19080149088762
88,37.603835076555775,186.80283113710982
89,39.3668225704404,191.27594767552566
90,37.954708722780445,196.7378159725966
91,33.64782538087352,180.66793935400108
92,42.34725853892176,200.16370566401326
93,40.577172496420246,197.67430364916558
94,33.961332887794676,178.5083848515765
95,39.891641920041096,196.4486984649921
96,46.67479389426882,214.4008884050987
97,28.410074087269223,165.09532688980073
98,37.260911815832614,189.84448644644402
99,54.92977588680907,228.0253662746223
100,32.9650330675839,176.91930699141187
101,42.3493495764017,204.61556335636908
